usuario_id,p1_navbar_claridad,p2_preferencia_publicar,p3_necesidad_regiones,p4_utilidad_regiones,p5_importancia_valoracion
1,Confusa,Botón flotante,"Sí, en otras regiones",Muy útil,Muy importante
2,Poco clara,Botón flotante,"Sí, en mi comuna",Útil,Importante
3,Confusa,Botón flotante,"Sí, en otras regiones",Muy útil,Muy importante
4,Clara,Indiferente,"Sí, en mi comuna",Útil,Importante
5,Confusa,Botón flotante,"Sí, en otras regiones",Muy útil,Muy importante
6,Poco clara,Botón flotante,"Sí, en otras regiones",Muy útil,Muy importante
7,Clara,Nav-bar anterior,"No, solo uso RM",Poco útil,Importante
8,Confusa,Botón flotante,"Sí, en mi comuna",Útil,Muy importante
9,Poco clara,Botón flotante,"Sí, en otras regiones",Muy útil,Muy importante
10,Confusa,Botón flotante,"Sí, en otras regiones",Muy útil,Muy importante
11,Poco clara,Botón flotante,"Sí, en mi comuna",Útil,Importante
12,Confusa,Botón flotante,"Sí, en otras regiones",Muy útil,Muy importante
13,Clara,Indiferente,"Sí, en otras regiones",Útil,Importante
14,Poco clara,Botón flotante,"Sí, en otras regiones",Muy útil,Muy importante
15,Confusa,Botón flotante,"Sí, en otras regiones",Muy útil,Muy importante
